crop_year,district_id,total_tons,avg_price,num_varieties
2016,1,922.3,1354.3272727272727,55
2016,2,874.1,1178.7365789473683,38
2016,3,591.1,1615.80375,72
2016,4,429.7,2194.6579032258064,62
2016,5,4704.6,819.7367647058824,34
2016,6,2771.2999999999997,990.4786666666666,45
2016,7,2512.8,1142.507962962963,54
2016,8,1583.1,1147.1288732394366,71
2016,9,16074.2,1024.93125,56
2016,10,2877.5,1154.899375,64
2016,11,21793.2,473.09044776119407,67
2016,12,23925.9,550.188679245283,53
2016,13,43325.6,315.5067567567568,74
2016,14,64110.700000000004,209.40857142857143,35
2016,15,124.9,879.1666666666666,12
2016,16,166.29999999999998,1155.1357407407409,54
2016,17,6722.4,714.0592857142858,42
2017,1,798.8,1454.0307407407408,54
2017,2,758.5,1237.8690000000001,40
2017,3,486.2,1666.9530000000002,70
2017,4,672.5,2303.754761904762,63
2017,5,1959.1000000000001,848.6897297297297,37
2017,6,3557.5,1000.3488372093024,43
2017,7,4093.2999999999997,1152.6519607843138,51
2017,8,2415.1,1075.2719718309859,71
2017,9,6198.4,907.8703703703703,54
2017,10,983.5,1212.015072463768,69
2017,11,20580.8,547.7352941176471,68
2017,12,25655.2,550.9847826086956,46
2017,13,43295.1,285.5217391304348,69
2017,14,80989.4,248.82894736842104,38
2017,15,507.0,991.8561111111111,18
2017,16,280.2,1245.6991228070176,57
2017,17,6989.7,748.7621951219512,41
2018,1,976.2,1325.3503448275862,58
2018,2,2521.1,1194.6818181818182,44
2018,3,1129.1,1673.4134722222223,72
2018,4,663.1,2313.64296875,64
2018,5,2440.2000000000003,963.6242424242424,33
2018,6,1518.0,975.2857142857143,49
2018,7,5510.5,1144.2181481481482,54
2018,8,4457.9,1078.7985915492957,71
2018,9,5824.0,1033.505090909091,55
2018,10,908.6,1252.21359375,64
2018,11,19629.5,572.3660563380281,71
2018,12,20784.5,590.7113461538462,52
2018,13,43130.9,337.10765625,64
2018,14,60804.200000000004,227.60861111111112,36
2018,15,51.1,1235.765909090909,22
2018,16,112.9,1142.1582978723404,47
2018,17,7274.7,824.1810204081634,49
2019,1,769.0,1411.131403508772,57
2019,2,1608.1000000000001,1257.25,40
2019,3,506.8,1704.9942857142858,70
2019,4,550.7,2220.6508196721315,61
2019,5,1230.2,1057.1133333333335,36
2019,6,2687.0,940.885652173913,46
2019,7,3628.0,1058.8666666666666,51
2019,8,2966.9,1111.2245333333333,75
2019,9,5651.1,948.3885714285715,56
2019,10,964.2,1167.088923076923,65
2019,11,23019.8,586.2888311688312,77
2019,12,27723.2,583.1632653061224,49
2019,13,32282.0,374.101746031746,63
2019,14,82636.5,308.1857894736842,38
2019,15,429.0,1170.0853846153846,26
2019,16,232.9,1304.0275471698114,53
2019,17,4228.7,477.537,40
2020,1,844.3,1429.2448333333334,60
2020,2,3619.2,1019.3205882352942,34
2020,3,531.1,1590.725223880597,67
2020,4,385.0,1949.0969811320754,53
2020,5,3641.1,1117.871052631579,38
2020,6,4276.8,973.6666666666666,48
2020,7,4247.099999999999,1175.9803921568628,51
2020,8,2412.8,1142.876081081081,74
2020,9,3293.9,1030.3277192982457,57
2020,10,839.5,1147.984393939394,66
2020,11,8595.9,584.058,70
2020,12,24120.9,469.4513513513514,37
2020,13,32736.7,430.3610344827586,58
2020,14,36383.7,265.7692307692308,26
2020,15,126.39999999999999,1143.4782608695652,23
2020,16,171.4,1344.805,54
2020,17,6434.2,539.2395454545455,44
2021,1,587.6,1636.1940909090908,66
2021,2,1184.6,1603.6216279069768,43
2021,3,470.8,1750.9490909090907,77
2021,4,258.7,2301.1252542372886,59
2021,5,1764.3,1247.0759523809525,42
2021,6,2310.2,1046.3207547169811,53
2021,7,4346.5,1247.330819672131,61
2021,8,1799.3,1211.7978481012658,79
2021,9,3764.1,1119.4581967213114,61
2021,10,896.0,1174.246153846154,65
2021,11,14031.1,654.1357333333333,75
2021,12,23242.0,505.35,37
2021,13,58536.0,445.22065573770493,61
2021,14,79966.8,274.4712121212121,33
2021,15,192.9,1422.3684210526317,19
2021,16,160.1,1367.0435714285716,56
2021,17,5324.3,583.2613636363636,44
2022,1,40634.9,2485.2761933174224,63
2022,2,31088.5,1990.8364171122994,40
2022,3,140187.1,3719.258441868394,75
2022,4,84029.9,7783.065744431417,64
2022,5,15668.5,1640.5085046728973,41
2022,6,15823.8,2209.2503099510604,54
2022,7,132149.8,2126.0374599542333,60
2022,8,150634.1,2960.1193256059014,75
2022,9,20419.1,1494.5001276595747,58
2022,10,7340.1,1955.1375813295615,62
2022,11,673201.2,899.5039686468647,72
2022,12,176687.7,598.410546875,35
2022,13,1016538.4,474.10842450765864,63
2022,14,266498.9,345.9146017699115,30
2022,15,329.0,2084.0090243902437,22
2022,16,2361.7,1974.2577947598252,56
2022,17,109160.1,877.5412903225807,43
2023,1,42145.0,2617.9049833887047,66
2023,2,37643.3,2033.601,45
2023,3,165507.2,3780.9969201069202,80
2023,4,103044.9,8018.131107313739,62
2023,5,19004.7,1656.1609405940594,42
2023,6,13313.7,2393.3652388797364,56
2023,7,137199.4,2158.922489451477,65
2023,8,181137.0,3142.4692374517376,83
2023,9,37713.4,1489.737028985507,62
2023,10,10416.4,1967.078966292135,68
2023,11,695874.1,847.453860856269,75
2023,12,191415.6,642.7590534979424,44
2023,13,899735.5,423.44448065173117,59
2023,14,203001.9,439.4964957264957,37
2023,15,202.6,1790.6976744186047,23
2023,16,2567.8,2047.434261904762,49
2023,17,157042.9,889.3490846681922,47
2024,1,40946.3,2481.0896803069054,62
2024,2,33663.7,1965.4741891891892,40
2024,3,138955.4,3768.185594429348,78
2024,4,84392.4,8445.596788856305,62
2024,5,16112.0,1836.3073796791443,40
2024,6,8153.099999999999,2411.425137254902,49
2024,7,114013.3,2216.3950896057345,59
2024,8,114626.5,3269.8396172426606,84
2024,9,31747.0,1509.2117733990146,54
2024,10,7108.4,2020.0360425531915,66
2024,11,537131.4,814.8109497716895,76
2024,12,145844.2,547.7626956521739,36
2024,13,793125.1,407.54715463917523,59
2024,14,98237.7,373.50745762711864,21
2024,15,148.0,1927.7916666666667,27
2024,16,2431.7,2121.01864608076,52
2024,17,126582.5,839.2814948453607,39
